code,report_month,region,commodity,item,year,period,value,min_value,max_value
CORN_WORLD_23,2020-10,South Africa,Corn,Ending Stocks,2020/21 Proj.,Oct,1.61,,
CORN_WORLD_23,2020-10,Ukraine,Corn,Beginning Stocks,2020/21 Proj.,Sep,1.05,,
CORN_WORLD_23,2020-10,Ukraine,Corn,Production,2020/21 Proj.,Sep,38.5,,
CORN_WORLD_23,2020-10,Ukraine,Corn,Imports,2020/21 Proj.,Sep,0.02,,
CORN_WORLD_23,2020-10,Ukraine,Corn,Domestic Feed,2020/21 Proj.,Sep,4.3,,
CORN_WORLD_23,2020-10,Ukraine,Corn,Domestic Total 2/,2020/21 Proj.,Sep,5.5,,
CORN_WORLD_23,2020-10,Ukraine,Corn,Exports,2020/21 Proj.,Sep,32.5,,
CORN_WORLD_23,2020-10,Ukraine,Corn,Ending Stocks,2020/21 Proj.,Sep,1.56,,
CORN_WORLD_23,2020-10,Ukraine,Corn,Beginning Stocks,2020/21 Proj.,Oct,1.25,,
CORN_WORLD_23,2020-10,Ukraine,Corn,Production,2020/21 Proj.,Oct,36.5,,
CORN_WORLD_23,2020-10,Ukraine,Corn,Imports,2020/21 Proj.,Oct,0.02,,
CORN_WORLD_23,2020-10,Ukraine,Corn,Domestic Feed,2020/21 Proj.,Oct,4.9,,
CORN_WORLD_23,2020-10,Ukraine,Corn,Domestic Total 2/,2020/21 Proj.,Oct,6.1,,
CORN_WORLD_23,2020-10,Ukraine,Corn,Exports,2020/21 Proj.,Oct,30.5,,
CORN_WORLD_23,2020-10,Ukraine,Corn,Ending Stocks,2020/21 Proj.,Oct,1.16,,
CORN_WORLD_23,2020-10,Major Importers 5/,Corn,Beginning Stocks,2020/21 Proj.,Sep,18.91,,
CORN_WORLD_23,2020-10,Major Importers 5/,Corn,Production,2020/21 Proj.,Sep,131.06,,
CORN_WORLD_23,2020-10,Major Importers 5/,Corn,Imports,2020/21 Proj.,Sep,104.65,,
CORN_WORLD_23,2020-10,Major Importers 5/,Corn,Domestic Feed,2020/21 Proj.,Sep,174.45,,
CORN_WORLD_23,2020-10,Major Importers 5/,Corn,Domestic Total 2/,2020/21 Proj.,Sep,231.5,,
CORN_WORLD_23,2020-10,Major Importers 5/,Corn,Exports,2020/21 Proj.,Sep,4.17,,
CORN_WORLD_23,2020-10,Major Importers 5/,Corn,Ending Stocks,2020/21 Proj.,Sep,18.94,,
CORN_WORLD_23,2020-10,Major Importers 5/,Corn,Beginning Stocks,2020/21 Proj.,Oct,20.26,,
CORN_WORLD_23,2020-10,Major Importers 5/,Corn,Production,2020/21 Proj.,Oct,130.96,,
CORN_WORLD_23,2020-10,Major Importers 5/,Corn,Imports,2020/21 Proj.,Oct,104.05,,
CORN_WORLD_23,2020-10,Major Importers 5/,Corn,Domestic Feed,2020/21 Proj.,Oct,173.35,,
CORN_WORLD_23,2020-10,Major Importers 5/,Corn,Domestic Total 2/,2020/21 Proj.,Oct,230.35,,
CORN_WORLD_23,2020-10,Major Importers 5/,Corn,Exports,2020/21 Proj.,Oct,3.97,,
CORN_WORLD_23,2020-10,Major Importers 5/,Corn,Ending Stocks,2020/21 Proj.,Oct,20.95,,
CORN_WORLD_23,2020-10,Egypt,Corn,Beginning Stocks,2020/21 Proj.,Sep,1.7,,
CORN_WORLD_23,2020-10,Egypt,Corn,Production,2020/21 Proj.,Sep,6.4,,
CORN_WORLD_23,2020-10,Egypt,Corn,Imports,2020/21 Proj.,Sep,11.0,,
CORN_WORLD_23,2020-10,Egypt,Corn,Domestic Feed,2020/21 Proj.,Sep,14.8,,
CORN_WORLD_23,2020-10,Egypt,Corn,Domestic Total 2/,2020/21 Proj.,Sep,17.3,,
CORN_WORLD_23,2020-10,Egypt,Corn,Exports,2020/21 Proj.,Sep,0.01,,
CORN_WORLD_23,2020-10,Egypt,Corn,Ending Stocks,2020/21 Proj.,Sep,1.79,,
CORN_WORLD_23,2020-10,Egypt,Corn,Beginning Stocks,2020/21 Proj.,Oct,1.7,,
CORN_WORLD_23,2020-10,Egypt,Corn,Production,2020/21 Proj.,Oct,6.4,,
CORN_WORLD_23,2020-10,Egypt,Corn,Imports,2020/21 Proj.,Oct,11.0,,
CORN_WORLD_23,2020-10,Egypt,Corn,Domestic Feed,2020/21 Proj.,Oct,14.8,,
CORN_WORLD_23,2020-10,Egypt,Corn,Domestic Total 2/,2020/21 Proj.,Oct,17.3,,
CORN_WORLD_23,2020-10,Egypt,Corn,Exports,2020/21 Proj.,Oct,0.01,,
CORN_WORLD_23,2020-10,Egypt,Corn,Ending Stocks,2020/21 Proj.,Oct,1.79,,
CORN_WORLD_23,2020-10,European Union 6/,Corn,Beginning Stocks,2020/21 Proj.,Sep,7.23,,
CORN_WORLD_23,2020-10,European Union 6/,Corn,Production,2020/21 Proj.,Sep,66.3,,
CORN_WORLD_23,2020-10,European Union 6/,Corn,Imports,2020/21 Proj.,Sep,25.0,,
CORN_WORLD_23,2020-10,European Union 6/,Corn,Domestic Feed,2020/21 Proj.,Sep,66.5,,
CORN_WORLD_23,2020-10,European Union 6/,Corn,Domestic Total 2/,2020/21 Proj.,Sep,88.5,,
CORN_WORLD_23,2020-10,European Union 6/,Corn,Exports,2020/21 Proj.,Sep,2.7,,
CORN_WORLD_23,2020-10,European Union 6/,Corn,Ending Stocks,2020/21 Proj.,Sep,7.33,,
CORN_WORLD_23,2020-10,European Union 6/,Corn,Beginning Stocks,2020/21 Proj.,Oct,7.17,,
CORN_WORLD_23,2020-10,European Union 6/,Corn,Production,2020/21 Proj.,Oct,66.1,,
