code,report_month,region,commodity,item,year,period,value,min_value,max_value
SOYBEAN_OIL_WORLD_30,2020-10,India,Soybean Oil,Exports,2019/20 Est.,Annual,0.02,,
SOYBEAN_OIL_WORLD_30,2020-10,India,Soybean Oil,Ending Stocks,2019/20 Est.,Annual,0.14,,
SOYBEAN_OIL_WORLD_30,2020-10,North Africa 5/,Soybean Oil,Beginning Stocks,2019/20 Est.,Annual,0.2,,
SOYBEAN_OIL_WORLD_30,2020-10,North Africa 5/,Soybean Oil,Production,2019/20 Est.,Annual,0.91,,
SOYBEAN_OIL_WORLD_30,2020-10,North Africa 5/,Soybean Oil,Imports,2019/20 Est.,Annual,1.66,,
SOYBEAN_OIL_WORLD_30,2020-10,North Africa 5/,Soybean Oil,Domestic Total,2019/20 Est.,Annual,2.27,,
SOYBEAN_OIL_WORLD_30,2020-10,North Africa 5/,Soybean Oil,Exports,2019/20 Est.,Annual,0.19,,
SOYBEAN_OIL_WORLD_30,2020-10,North Africa 5/,Soybean Oil,Ending Stocks,2019/20 Est.,Annual,0.31,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Beginning Stocks,2020/21 Proj.,Sep,4.01,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Production,2020/21 Proj.,Sep,59.91,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Imports,2020/21 Proj.,Sep,11.0,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Domestic Total,2020/21 Proj.,Sep,58.88,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Exports,2020/21 Proj.,Sep,12.08,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Ending Stocks,2020/21 Proj.,Sep,3.95,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Beginning Stocks,2020/21 Proj.,Oct,4.08,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Production,2020/21 Proj.,Oct,60.3,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Imports,2020/21 Proj.,Oct,10.98,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Domestic Total,2020/21 Proj.,Oct,59.22,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Exports,2020/21 Proj.,Oct,12.08,,
SOYBEAN_OIL_WORLD_30,2020-10,World 2/,Soybean Oil,Ending Stocks,2020/21 Proj.,Oct,4.07,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Beginning Stocks,2020/21 Proj.,Sep,3.41,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Production,2020/21 Proj.,Sep,42.35,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Imports,2020/21 Proj.,Sep,10.0,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Domestic Total,2020/21 Proj.,Sep,40.47,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Exports,2020/21 Proj.,Sep,11.93,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Ending Stocks,2020/21 Proj.,Sep,3.35,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Beginning Stocks,2020/21 Proj.,Oct,3.43,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Production,2020/21 Proj.,Oct,42.56,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Imports,2020/21 Proj.,Oct,9.88,,
SOYBEAN_OIL_WORLD_30,2020-10,Brazil,Soybean Oil,Exports,2020/21 Proj.,Oct,1.2,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Domestic Total,2020/21 Proj.,Oct,40.53,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Exports,2020/21 Proj.,Oct,11.93,,
SOYBEAN_OIL_WORLD_30,2020-10,World Less China,Soybean Oil,Ending Stocks,2020/21 Proj.,Oct,3.42,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Beginning Stocks,2020/21 Proj.,Sep,0.84,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Production,2020/21 Proj.,Sep,11.46,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Imports,2020/21 Proj.,Sep,0.16,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Domestic Total,2020/21 Proj.,Sep,10.43,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Exports,2020/21 Proj.,Sep,1.18,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Ending Stocks,2020/21 Proj.,Sep,0.84,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Beginning Stocks,2020/21 Proj.,Oct,0.79,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Production,2020/21 Proj.,Oct,11.46,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Imports,2020/21 Proj.,Oct,0.16,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Domestic Total,2020/21 Proj.,Oct,10.43,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Exports,2020/21 Proj.,Oct,1.18,,
SOYBEAN_OIL_WORLD_30,2020-10,United States,Soybean Oil,Ending Stocks,2020/21 Proj.,Oct,0.8,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Beginning Stocks,2020/21 Proj.,Sep,3.17,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Production,2020/21 Proj.,Sep,48.45,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Imports,2020/21 Proj.,Sep,10.84,,
